info: Blog app started
info: Blog app started
info: Blog app started
info: Blog app started
info: Blog app started
info: Blog app started
info: Blog app started
info: Blog app started
info: Blog app started
info: Blog app started
info: Blog app started
info: fetching blog with id 343
info: Blog app started
info: fetching blog with id 343
error: An error occurred while fetching the blog
info: Blog app started
info: Blog app started
info: Blog app started
info: fetching blog with id 6521bb8fe900326db2742f0a
info: Blog app started
2023-10-11T18:49:45.887Z [info]: connecting to DB
2023-10-11T18:51:12.562Z [info]: connecting to DB
2023-10-11T18:53:10.109Z [info]: fetching blog with id 6526ef137473259e8d415d89
2023-10-11T18:54:43.993Z [info]: connecting to DB
2023-10-11T18:55:55.472Z [info]: connecting to DB
2023-10-11T18:56:32.434Z [info]: connecting to DB
2023-10-11T18:56:39.591Z [info]: connecting to DB
2023-10-11T18:56:59.355Z [info]: connecting to DB
2023-10-11T18:57:49.952Z [info]: connecting to DB
2023-10-11T19:03:49.067Z [info]: connecting to DB
2023-10-11T19:13:41.466Z [info]: connecting to DB
2023-10-11T19:14:23.850Z [info]: connecting to DB
2023-10-11T19:15:24.465Z [info]: connecting to DB
2023-10-11T19:17:14.970Z [info]: connecting to DB
2023-10-11T19:44:16.419Z [info]: connecting to DB
2023-10-12T07:39:24.684Z [info]: connecting to DB
2023-10-12T07:41:18.467Z [info]: connecting to DB
2023-10-12T07:41:56.675Z [info]: connecting to DB
2023-10-12T07:42:15.000Z [info]: connecting to DB
2023-10-12T07:42:59.960Z [info]: connecting to DB
2023-10-12T07:44:00.330Z [info]: connecting to DB
2023-10-12T07:44:48.174Z [info]: connecting to DB
2023-10-12T07:44:53.718Z [info]: connecting to DB
2023-10-12T07:45:36.317Z [info]: connecting to DB
2023-10-12T07:50:27.234Z [info]: connecting to DB
2023-10-12T07:50:32.360Z [info]: connecting to DB
2023-10-12T07:50:38.692Z [info]: connecting to DB
2023-10-12T07:50:41.666Z [info]: connecting to DB
2023-10-12T07:51:11.875Z [info]: connecting to DB
2023-10-12T07:51:17.069Z [info]: connecting to DB
2023-10-12T07:52:44.554Z [info]: connecting to DB
2023-10-12T07:53:08.208Z [info]: connecting to DB
2023-10-12T07:54:12.621Z [info]: connecting to DB
2023-10-12T07:54:37.810Z [info]: connecting to DB
2023-10-12T07:54:49.531Z [info]: connecting to DB
2023-10-12T07:54:52.245Z [info]: connecting to DB
2023-10-12T07:55:14.462Z [info]: connecting to DB
2023-10-12T07:55:29.005Z [info]: connecting to DB
